"面积","房型","装修","租金压付","租金","楼层","所属区域","所在小区","朝向","租赁方式","类型","位置","标题"
"25平米","3室2厅2卫","精装修","付1押1","650元/月","10/26","莲湖","海纳观景园","朝南","合租","普通住宅","丰禾路","全女生 玉祥门地铁口 洒金桥 北大街 潘家村 西站海纳汽配城"
"96平米","3室2厅1卫","简单装修","面议","2200元/月","5/26","莲湖","省直机关丰园小区","东北","整租","普通住宅","丰庆公园","丰庆公园天下 省直机关 三房两厅  楼层低 中装随时随看入住"
"38平米","1室1厅1卫","精装修","半年付","1500元/月","18/29","莲湖","柠檬宫舍","朝北","整租","普通住宅","丰庆公园","西稍门柠檬宫舍 位置繁华 出行便利 家具全齐 随时看房入住"
"42平米","1室1卫","精装修","付3押1","1400元/月","1/1","莲湖","太奥国际城","朝东","整租","公寓","丰禾路","精装一室 太奥广场  商业成熟 拎包入住"
"50平米","1室1厅1卫","精装修","面议","1800元/月","10/30","雁塔","莱安逸珲","朝北","整租","普通住宅","大寨路","精装全配 可直接拎包入住 房源紧张 先到先得 房源仅此一套"
"140平米","3室2厅2卫","精装修","半年付","2800元/月","26/31","雁塔","黄金嘉园","东南","整租","普通住宅","大寨路","团结南路 黄，金嘉园 140平大三居 精装全配 仅租2800"
"85平米","2室2厅1卫","精装修","半年付","2500元/月","14/30","雁塔","左岸春天","朝南","整租","普通住宅","鱼化寨","左岸春天 两室 精装 全配 拎包入住 紧邻地铁口 上班方便"
"96平米","2室2厅1卫","精装修","半年付","2300元/月","16/33","雁塔","融侨紫薇馨苑","南北","整租","普通住宅","电子城","雁塔区 高新区 融侨馨苑 金泰假日花城 裕昌太城 万象春天"
"40平米","1室1卫","简单装修","面议","1600元/月","11/25","雁塔","长丰园二期","朝西","整租","普通住宅","电视塔","急租长丰园二期好房型 简装修 即租即入住"
"89平米","2室2厅1卫","简单装修","面议","1500元/月","4/6","长安","生产资料小区","南北","整租","普通住宅","韦曲","韦曲西街 生产资料小区 多层四楼 邻近地铁 拎包入住 有暖气"
"168平米","3室2厅2卫","精装修","半年付","4500元/月","3/7","雁塔","枫叶新都市","南北","整租","普通住宅","科技路","枫叶新都市 三楼三楼 高新二小陪读 精装修全配拎包入住有钥匙"
"70平米","1室1厅1卫","精装修","半年付","2600元/月","20/27","雁塔","高新红枫林","朝南","整租","普通住宅","大寨路","高新 全新时尚精装 首租 拎包入住 2600元 红枫林"
"40平米","1室1卫","精装修","面议","1699元/月","16/33","雁塔","望庭国际","朝东","整租","普通住宅","高新一中","一小旁 花园小区 精装全配 望庭国际 不临街 双气入户"
"130平米","3室2厅2卫","精装修","年付","4200元/月","16/17","雁塔","天地源枫林绿洲","南北","整租","普通住宅","高新一中","房东自住型装修,真实照片,实地拍摄,干净清爽,随时来电看房！"
"168平米","3室2厅2卫","精装修","面议","3300元/月","4/10","雁塔","长安大学育才路住宅区","朝北","整租","普通住宅","翠华路","育才大厦 复式房 可托管，办公钥匙在店 观翠华路小学教学楼"
"108平米","3室2厅1卫","精装修","半年付","2800元/月","14/33","未央","万科金域华府","南北","整租","普通住宅","行政中心","万科金域华府 三室精装全配 南北通透 全明户型 带暖气"
"25平米","3室1厅1卫","精装修","付3押1","688元/月","15/33","雁塔","乐和公馆","南北","合租","普通住宅","翠华路","北池头 观音庙 青龙寺 大雁塔 地铁三号线附近单间甩租"
"142平米","4室2厅2卫","精装修","付3押1","5500元/月","24/33","雁塔","中海御湖","南北","整租","普通住宅","大唐芙蓉园","品质小区 中海御湖 不临街精装四室 拎包住"
"98平米","2室2厅1卫","精装修","半年付","2600元/月","25/27","雁塔","中华世纪城","南北","整租","普通住宅","大寨路","大寨路 中华世纪城 俩室 精装好房 南北通透 看房有钥匙"
"280平米","1室1厅1卫","毛坯","半年付","25000元/月","2/2","雁塔","金辉世界城A区","朝西","整租","普通住宅","金滹沱","境商速递 金辉世界城 独栋商铺 可动明火 做餐饮 随时看"
"175平米","3室2厅2卫","精装修","半年付","9000元/月","6/15","雁塔","曲江公馆(公寓)","南北","整租","普通住宅","大唐芙蓉园","境商速递 曲江公馆和园 三室精装全配 诚心出租 看房方便"
"60平米","2室1厅1卫","精装修","面议","1850元/月","10/30","雁塔","东方米兰","朝东","整租","普通住宅","大寨路","高新  大寨路  精装2室   拎包入住  看房有钥匙"
"175平米","4室2厅2卫","精装修","半年付","5500元/月","3/11","雁塔","中海熙岸","南北","整租","普通住宅","大唐芙蓉园","中海熙岸 低楼层 三室精装空房 超大露台 办公或者住家"
"90平米","2室2厅1卫","精装修","面议","1800元/月","6/19","长安","春天花园","朝南","整租","普通住宅","长安广场","长安区政府 春天花园 精装修两室纯南 拎包入住 随时看房"
"163平米","3室2厅1卫","精装修","面议","3000元/月","15/30","未央","雅荷四季城","南北","整租","普通住宅","凤城五路","凤城四路 地铁口 雅荷四季城大三室空房出租 可办公可住家"
"85平米","2室2厅2卫","精装修","半年付押1","1700元/月","2/19","雁塔","巧克力公寓","朝东","整租","普通住宅","青龙寺","建工路 经典复式 精装两室 干净整洁  拎包入住 看房方便"
"105平米","3室2厅2卫","精装修","面议","3400元/月","20/30","雁塔","旗远锦樾","朝南","整租","普通住宅","锦业路","锦业路 旗远锦樾 精装三居室 拎包入住 业主诚租"
"125平米","3室2厅2卫","精装修","半年付","2300元/月","2/18","长安","融发心园","南北","整租","普通住宅","郭杜","融发心园精装房屋诚心出租，宽敞明亮，家具家电齐全，可随时看房"
"40平米","1室1卫","精装修","半年付","1500元/月","4/26","雁塔","高新银座","朝东","整租","普通住宅","光华路","高新路 银座一室开间 家电齐全 仅租1500元 可随时看房"
"65平米","1室1厅1卫","中等装修","半年付","1500元/月","7/11","新城","八府庄小区","朝东","整租","普通住宅","含元路","A108《元丰怡家》1室全配，拎包入住，看房方便"
"70平米","2室1厅1卫","毛坯","半年付","2300元/月","6/24","雁塔","高新丹枫国际","朝西","整租","普通住宅","光华路","高新四路 核心地段 丹枫国际 两室改一室 带办公家具 可居家"
"43平米","1室1卫","精装修","半年付","2200元/月","5/9","新城","解放路民乐园万达广场公寓","朝东","整租","普通住宅","解放路","万达 一室 精装 电梯 双气全配 干干净净 拎包住"
"120平米","4室1厅1卫","简单装修","付3押1","2500元/月","4/6","碑林","大车家巷社区","南北","整租","普通住宅","南门","五味十字 大车家巷 四室 可做员工宿舍 四部空调双气"
"100平米","2室2厅1卫","精装修","半年付押1","1800元/月","6/19","碑林","克拉上城","南北","整租","普通住宅","西安交大","克拉上城 地铁口 超市边 两室两厅 拎包入住 繁华地段"
"46平米","1室1卫","精装修","半年付","1700元/月","15/27","雁塔","中国铁建瑞园","东北","整租","普通住宅","大寨路","近地铁口 中铁瑞园一室开间 两个窗户 一般价位1800这个低"
"55平米","1室1厅1卫","精装修","半年付","1600元/月","18/26","雁塔","黄金嘉园","朝西","整租","普通住宅","大寨路","大寨路 标准一室一厅 年底福利 只要1600 就可拎包入住"
"90平米","2室2厅1卫","精装修","半年付押1","2200元/月","19/24","莲湖","蔚蓝花城七色镇","西南","整租","普通住宅","梨园路","七色镇  追求的小三室 给大年夜一个温馨的自由 带暖气"
"95平米","2室2厅2卫","精装修","付3押1","2100元/月","7/15","雁塔","北池头小区","朝南","整租","普通住宅","曲江大道","曲江北池头精装2居室诚意出租 随时看房 拎包入住"
"28平米","3室2厅2卫","精装修","付1押1","830元/月","11/28","未央","凤苑新居","朝南","合租","普通住宅","凤城五路","凤城四路凤城三路中间开元路东凤苑龙居凤苑新居精装三室押一付一"
"104平米","2室2厅1卫","精装修","半年付押1","2800元/月","10/18","雁塔","绿地世纪城","朝南","整租","普通住宅","锦业路","看了就不想离开的房子  让别人后悔去吧   来了就看"
"91平米","2室2厅1卫","精装修","年付","2500元/月","24/27","未央","锦园君逸西区","朝南","整租","普通住宅","市图书馆","锦园君逸精装两室挑的你眼花！"
"50平米","1室1厅1卫","精装修","付3押1","1800元/月","12/32","莲湖","华兰佳园","南北","整租","普通住宅","西关正街","西门外华兰佳园旁高层电梯房精装带双气！拎包住！"
"122平米","3室2厅1卫","精装修","半年付","2100元/月","26/33","新城","新东尚","南北","整租","普通住宅","韩森寨","新东尚三室新房中央空调带全新家具长租"
"152平米","3室2厅2卫","简单装修","面议","3000元/月","18/29","莲湖","远丰大厦","东南","整租","普通住宅","龙首村","精装全配三居可办公 可住家!"
"150平米","3室2厅2卫","中等装修","年付","4500元/月","22/28","未央","凤凰新城","朝东","整租","普通住宅","市图书馆","精致3室 时尚的装修风格"
"100平米","2室2厅1卫","精装修","半年付","1600元/月","15/26","雁塔","中铁铂丰尚都城","朝南","整租","普通住宅","雁环中路","电子正街南三环欧亚学院联盟新城中铁尚都城小区2室空房出租！"
"120平米","3室2厅2卫","精装修","半年付押1","1600元/月","13/32","未央","青门口花园","东南","整租","普通住宅","行政中心","青门口花园 精装三室 业主自主标准 仅租1600 随时看房"
"130平米","3室2厅2卫","精装修","半年付","3200元/月","28/32","雁塔","恒大城","朝南","整租","普通住宅","大寨路","高新区 恒大城 *三室 家具家电全配 拎包入住 包物业费"
"62平米","2室1厅1卫","精装修","半年付","2000元/月","6/25","雁塔","龙湖紫都城","朝南","整租","普通住宅","曲江大道","精装全配，两室两厅，价格低廉，拎包入住，就在龙湖紫都城"
"110平米","3室2厅1卫","精装修","面议","3000元/月","9/27","雁塔","华城万象一期","朝南","整租","普通住宅","电视塔","华城万象 3室2厅 110平"
"120平米","3室2厅2卫","精装修","面议","2500元/月","4/26","莲湖","西城芳洲","朝南","整租","普通住宅","土门","二环边，西城芳洲，3室2卫，只租2500，相当便宜"
"155平米","3室2厅2卫","精装修","半年付","4600元/月","8/18","雁塔","双威温馨花园","东西","整租","普通住宅","科技路","高新一中陪读房 双威温馨花园 房东的自住房 看房方便拎包入住"
"83平米","2室2厅1卫","精装修","付3押1","2300元/月","12/30","雁塔","龙城铭园","西南","整租","普通住宅","鱼化寨","好地段 好房子 龙城铭园   鱼化寨附近 拎包入住 精美装修"
"95平米","2室2厅1卫","精装修","面议","2400元/月","24/33","雁塔","竹园阳光嘉苑","朝南","整租","普通住宅","西沣路","竹园阳光嘉园，精装两室，舒适大气，看房方便"
"120平米","4室2厅2卫","精装修","半年付押1","2600元/月","16/33","新城","东岸阳光","南北","整租","普通住宅","含元路","石家街地铁口 东岸阳光现房，拎包入住，随时入住，随时看房。"
"89平米","3室2厅2卫","精装修","付3押1","2500元/月","29/34","雁塔","宏府麒麟山","朝南","整租","普通住宅","大寨路","大寨路铭城国际 宏府麒麟山 中航华府 三室欧式装修 急租"
"91平米","3室2厅1卫","精装修","半年付押1","1500元/月","11/30","长安","雅居乐花园","南北","整租","普通住宅","郭杜","长安区雅居乐花园精装三室南北通透 中间楼层 可拎包入住"
"127平米","3室2厅1卫","简单装修","付3押1","1900元/月","5/11","未央","白桦林居","南北","整租","普通住宅","行政中心","白桦林居 市政府运动公园旁 高绿化品质小区 配套齐全"
"20平米","3室2厅2卫","精装修","付3押1","666元/月","10/32","雁塔","高新大都荟","朝南","合租","普通住宅","光华路","高新四路 旺座国际 创业广场 亚美大厦 大都荟*单间合租"
"173平米","4室2厅2卫","精装修","付3押1","3600元/月","16/33","新城","新东尚","南北","整租","普通住宅","韩森寨","韩森寨  新东尚四室带家具  可直接拎包入住"
"20平米","1室1厅1卫","精装修","半年付","1500元/月","13/32","长安","航天城","朝南","整租","普通住宅","航天城","航天城 高速紫禁长安1500元 1室1厅1卫 精装修家电全齐"
"116平米","3室2厅1卫","精装修","面议","2800元/月","6/11","雁塔","中华世纪城","南北","整租","普通住宅","大寨路","出租 西高新 科技路 地铁口 中华世纪城 小3室 拎包可以住"
"43平米","1室1卫","精装修","半年付押1","1800元/月","20/32","莲湖","嘉天Smart","朝北","整租","普通住宅","丰庆公园","高新 白领云集 嘉天smart 精装一室全配 拎包入住"
"62平米","1室1厅1卫","简单装修","面议","1500元/月","6/31","雁塔","绿地世纪城","朝南","整租","普通住宅","锦业路","软件园旁 纯南一居 不临街 拎包入住 看房有钥匙 急租"
"276平米","5室2厅4卫","豪华装修","半年付","13000元/月","17/21","莲湖","西市佳境","南北","整租","普通住宅","丰庆公园","南二环边上高端住宅西市佳境纯板楼一梯一户豪华大平层可做会所"
"50平米","1室1厅1卫","精装修","半年付押1","2500元/月","19/33","碑林","中贸广场","朝东","整租","普通住宅","南稍门","玛雅 南门外 中贸广场 1室1厅 精装全配 拎包住 随时看房"
"140平米","3室2厅2卫","精装修","半年付","6000元/月","20/24","雁塔","高科尚都","南北","整租","普通住宅","锦业路","高科三室急出租 户型正点 您来检验"
"67平米","1室1卫","精装修","半年付","2200元/月","19/32","雁塔","数字生活","朝南","整租","普通住宅","高新一中","数字生活 唐延路 交通方便 精装修一室拎包入住 有钥匙随时看"
"45平米","1室1卫","精装修","半年付押1","1400元/月","6/22","雁塔","融侨城一期","朝东","整租","普通住宅","大寨路","大寨路 融侨城精装一室开间全配 仅租1400 拎包入住"
"55平米","2室1厅1卫","精装修","面议","1600元/月","11/32","未央","新里魏玛公馆","朝北","整租","普通住宅","行政中心","魏玛公馆，空房出租业主靠谱，价位可谈随时看房！！"
"106平米","2室2厅1卫","精装修","半年付押1","2000元/月","5/11","未央","EE康城西区","南北","整租","普通住宅","张家堡","行政中心 EE康城   精装二室  随时看房"
"28平米","3室1厅1卫","精装修","付1押1","1200元/月","12/33","雁塔","东八里小区","朝南","合租","普通住宅","陕师大","（主卧带阳台）小寨 纬一街地铁口 会展中心 电视塔 押一付一"
"80平米","2室2厅1卫","精装修","半年付押1","1300元/月","2/33","未央","绿地香树花城","南北","整租","普通住宅","凤城五路","绿地精装两室空房可办公商用 环境优美 停车方便 房东着急出租"
"42平米","1室1厅1卫","精装修","付3押1","1500元/月","16/30","雁塔","万象春天南区","朝南","整租","普通住宅","电子城","高新 电子城 电子正街 万象春天 精装一室 秘密空间1500"
"90平米","2室2厅1卫","精装修","面议","1800元/月","5/12","长安","嘉禾丽都","南北","整租","普通住宅","韦曲","嘉禾丽都 凤栖原地铁口精装户型出租"
"107平米","3室2厅1卫","精装修","半年付押1","3000元/月","15/26","雁塔","天地源枫林意树","南北","整租","普通住宅","木塔寺公园","枫林意树三室空房 中央空调 24h热水 可办公 居家 宿舍"
"126平米","3室2厅2卫","精装修","半年付","2300元/月","6/11","新城","万国金色家园","南北","整租","普通住宅","含元路","万国金色家园三室两厅两卫精装"
"43平米","1室1卫","精装修","付3押1","1499元/月","12/33","雁塔","高科尚都","朝东","整租","普通住宅","锦业路","高科尚都 摩卡精装好房 家具家电齐全 有钥匙随时可看房"
"45平米","1室1卫","精装修","半年付","2000元/月","15/26","雁塔","高新枫尚","朝东","整租","普通住宅","光华路","高新区 光华路 高新枫尚 拎包住一居室，精装全配 初次出租"
"105平米","3室2厅1卫","精装修","半年付押1","2700元/月","16/22","莲湖","蔚蓝印象","东南","整租","普通住宅","丰禾路","大庆路，玉祥门地铁口，蔚蓝印象，居家三室，拎包入住，双气入户"
"120平米","2室1厅1卫","精装修","半年付","2700元/月","8/16","莲湖","西仪坊物资局小区","朝南","整租","普通住宅","西关正街","玛雅安全交易地铁口 物资局 三室 精装修 全配 2700元"
"47平米","1室1厅1卫","精装修","付3押1","2200元/月","16/32","雁塔","莱安逸境","朝南","整租","普通住宅","光华路","莱安逸境豪装自住一室首.次出租 随时看房 真实图片随时入住"
"35平米","3室1厅2卫","精装修","付1押1","1000元/月","17/34","雁塔","华城万象二期","朝南","合租","普通住宅","电视塔","电视塔 会展中心 华城万象 主卧独卫精装单间 暖气房拎包入住"
"43平米","1室1厅1卫","简单装修","半年付","1300元/月","1/32","雁塔","华城国际","朝南","整租","普通住宅","电视塔","整租电视塔 精装一室全配 拎包入住 随时看房"
"102平米","2室2厅1卫","精装修","面议","2300元/月","23/25","未央","海荣阳光城","东南","整租","普通住宅","张家堡","福宝园 2室2厅 102平"
"55平米","1室1厅1卫","精装修","半年付押1","1700元/月","26/33","碑林","世贸大厦","朝北","整租","普通住宅","东关正街","东门外 东关南街 世贸大厦 精装全配1室拎包入住 1700"
"80平米","2室2厅1卫","精装修","面议","2100元/月","23/25","雁塔","晟方佳苑","南北","整租","普通住宅","明德门","晟方佳苑 市政供暖 博爱医院 电子二路 陪读陪护 三天必租"
"108平米","2室2厅1卫","精装修","年付","2500元/月","26/28","碑林","千叶华园","朝南","整租","普通住宅","西工大","西工大南门对面友谊西路《千叶华园》两室精装修全配，可拎包入住"
"90平米","2室1厅1卫","豪华装修","付3押1","2300元/月","20/32","雁塔","紫郡长安","朝南","整租","普通住宅","长安西路","城南 近地铁 紫郡长安 精装两室 业主诚心出租"
"89平米","3室2厅1卫","精装修","半年付","2800元/月","20/35","雁塔","龙湖紫都城","朝南","整租","普通住宅","曲江大道","曲江龙湖紫都城 三室精装 拎包入住 交通.购物方便.随时看房"
"20平米","4室1厅2卫","精装修","付1押1","850元/月","15/32","雁塔","响塘文苑","朝南","合租","公寓","大寨路","科技路大寨路响塘文苑 精装合租公寓 拎包入住"
"106平米","3室2厅1卫","精装修","半年付","2700元/月","17/29","雁塔","融侨曲江观邸","朝南","整租","普通住宅","雁塔南路","南湖畔 文化中心曲江观邸精装3室带空调 办公居家业主诚心"
"36平米","1室1卫","精装修","面议","1400元/月","17/22","雁塔","我爱我家","朝南","整租","普通住宅","明德门","凯越华庭 电子城小学 电子正街 怡兴大厦 生活便利 北山门"
"100平米","3室1厅1卫","豪华装修","付3押1","2888元/月","16/33","未央","浐灞一号","南北","整租","普通住宅","浐灞大道","浐灞一号全欧配置小三室 业主诚心出租 环境优美 随时看房"
"350平米","4室2厅4卫","精装修","付3押1","25000元/月","3/5","雁塔","金地芙蓉世家(公寓)","南北","整租","普通住宅","大唐芙蓉园","地铁口 金地芙蓉世家 上叠加别墅 豪华装修全配 价格可谈"
"138平米","3室2厅2卫","精装修","面议","3300元/月","12/26","未央","白桦林居","东南","整租","普通住宅","行政中心","凤城八路白桦林居全明户型家具家电全配出租周边生活配套丰富多彩"
"96平米","2室2厅1卫","精装修","面议","3000元/月","16/25","雁塔","天地源枫林意树","南北","整租","普通住宅","木塔寺公园","高新科技六路枫林意树精装两室元月底到期，也有可立即起租的哦"
"90平米","2室2厅1卫","精装修","半年付押1","1500元/月","25/28","长安","融发心园","南北","整租","普通住宅","郭杜","融发心园+两室+精装+南北通透+空房+出租！！！"
"86平米","2室2厅1卫","精装修","面议","1700元/月","8/12","雁塔","旭景碧泽园","南北","整租","普通住宅","大寨路","高新大寨路旭景碧泽园精装两室家电齐全免费看房免费找房"
"109平米","2室2厅1卫","简单装修","面议","2200元/月","4/18","雁塔","凯旋广场","朝东","整租","普通住宅","明德门","凯旋广场 少有户型  温馨家庭"
"85平米","2室2厅1卫","精装修","年付","2500元/月","31/31","莲湖","御溪望城","东南","整租","普通住宅","西关正街","丰庆路御溪望城 性价比超高精装全配两室 双气高层 随时看房"
"45平米","1室1卫","简单装修","付3押1","1500元/月","30/31","莲湖","御笔华章","朝西","整租","普通住宅","西关正街","西稍门 开元商城旁 一室全配 房子干净舒适 欢迎实地看房"
"91平米","2室2厅1卫","简单装修","半年付押1","1200元/月","6/6","莲湖","蔚蓝花城曼陀苑","南北","整租","普通住宅","梨园路","丰禾路两室简装 随时看房配套全 商圈成熟 价格便宜"
"20平米","3室1厅1卫","精装修","付3押1","600元/月","3/7","新城","西安市新华书店家属院","朝南","合租","公寓","解放路","可月付 钟楼地铁口 骡马市 东大街 案板街 吉庆巷 吉庆小区"
"90平米","2室2厅1卫","精装修","半年付押1","2200元/月","9/15","莲湖","蔚蓝花城七色镇","南北","整租","普通住宅","梨园路","七色镇 两室全配 可直接拎包入住 看房方便 随时都行"
"97平米","2室1厅1卫","精装修","付1押1","850元/月","18/30","雁塔","紫郡长安","朝南","合租","普通住宅","长安西路","电视塔 全欧装修 先到先得 豪华装修 拎包即住，随时约看！"
"136平米","3室2厅2卫","精装修","面议","5300元/月","23/32","雁塔","中铁梧桐苑","南北","整租","普通住宅","南湖","新年大吉  全新现代精装修   视野开阔  全套 拎包住"
"80平米","2室2厅1卫","简单装修","面议","2100元/月","5/6","雁塔","紫薇田园都市B区","朝南","整租","普通住宅","中兴产业园","紫薇田园都市 只此一套 全配出租 超便宜 没有第二套 拎包住"
"90平米","2室2厅1卫","精装修","付3押1","2300元/月","16/33","雁塔","锦都荟","东南","整租","普通住宅","锦业路","精装修2室 诚意出租、超低.价格、配置齐全、阳光暖暖！随时看"
"52平米","2室1厅1卫","精装修","半年付","1500元/月","1/7","碑林","陕歌家属院","朝南","整租","普通住宅","李家村","文艺北路、文北一社区、2室朝南、1500、随时看房、拎包入住"
"99平米","3室2厅1卫","毛坯","半年付","1800元/月","29/30","长安","雅居乐花园","南北","整租","普通住宅","郭杜","雅居乐花园精装三室空房 南北通透诚心出租"
"86平米","2室2厅1卫","精装修","付3押1","2200元/月","12/27","雁塔","龙城铭园","朝南","整租","普通住宅","鱼化寨","近地铁 两室精装修自住婚房，龙城铭园一期 家具家电全带急租"
"121平米","3室2厅1卫","精装修","付3押1","3200元/月","11/28","雁塔","金泰假日花城","南北","整租","普通住宅","电子城","雁塔 高新太白南路 西万路口  紫薇尚层 金泰假日花城三室"
"96平米","2室2厅1卫","简单装修","半年付","1400元/月","5/6","灞桥","枫禾新苑","东西","整租","普通住宅","桃花潭","枫禾新苑 二室一厅 简单装修 全配 拎包入住 随时看房"
"55平米","1室1厅1卫","精装修","付3押1","1850元/月","12/27","雁塔","利君明天","朝西","整租","普通住宅","科技路","高新区利君明天，标准一室一厅，精装修中间楼层，看房方便"
"112平米","3室2厅2卫","精装修","付3押1","2500元/月","3/7","雁塔","高科花园二三期","南北","整租","普通住宅","科技路","高新区 科技路唐延路唐兴路 高新二小边精美三室全配 拎包入住"
"87平米","2室2厅1卫","精装修","付3押1","1400元/月","5/16","灞桥","东方罗马花园","南北","整租","普通住宅","十里铺","东方罗马花园   两室  精装 拎包入住  只要1400"
"175平米","3室2厅2卫","简单装修","面议","4000元/月","5/32","雁塔","西港雅苑","南北","整租","普通住宅","锦业路","高新区锦业路 西港雅苑 三室空房 居家办公之选 诚意出租"
"60平米","2室1厅1卫","简单装修","半年付","1000元/月","6/6","未央","啤酒厂家属院","南北","整租","普通住宅","辛家庙","啤酒厂，两室一厅，60平，6层，家具家电，1000元"
"70平米","2室2厅1卫","精装修","半年付","1800元/月","15/31","雁塔","响塘德苑","朝东","整租","普通住宅","大寨路","团结南路响塘德苑盛景园70平精装两室全配采光无敌拎包入住"
"61平米","2室1厅1卫","精装修","面议","2300元/月","4/30","雁塔","城市皇冠","朝北","整租","普通住宅","光华路","高新四路城市皇冠精装修小两室全配家具家电 拎包入住 随时看房"
"124平米","3室2厅1卫","精装修","半年付","3500元/月","21/27","未央","新界","朝南","整租","普通住宅","张家堡","地铁口 凤城六路 新界 三室可办公房 有空调"
"90平米","2室2厅2卫","精装修","面议","3500元/月","13/18","雁塔","鸿基紫韵(公寓)","南北","整租","普通住宅","南湖","整组 南湖畔 地铁口 鸿基紫韵 92平二室全配 随时看房"
"89平米","2室2厅2卫","毛坯","年付","2500元/月","7/24","长安","富力城","南北","整租","普通住宅","航天城","两室精装全配 自住房出租  拎包可入住 看房随时都可以"
"80平米","2室1厅1卫","精装修","半年付押1","2200元/月","3/27","雁塔","美丽的院子","西北","整租","普通住宅","吉祥村","地铁口   小两室   居家全配   闹中取静  价位低廉"
"33平米","1室1卫","毛坯","半年付","1400元/月","6/22","雁塔","融侨城一期","朝北","整租","普通住宅","大寨路","高新 大寨路 融侨城 精致一室开间 配置齐全 价位实惠"
"43平米","1室1厅1卫","精装修","半年付","1800元/月","11/30","雁塔","莱安逸境","东北","整租","普通住宅","光华路","南二环边上 莱安逸境1室1厅 精装  全配 朝向东北拎包入住"
"85平米","2室1厅1卫","精装修","付3押1","1600元/月","12/30","未央","文景雅苑","朝南","整租","普通住宅","方新村","龙首原地铁口 两室精装全配 拎包入住 随时看房"
"45平米","1室1卫","精装修","付3押1","1300元/月","20/33","未央","炕底寨小区","朝北","整租","普通住宅","大明宫","未央路 大明宫西地铁口 一室精装修  可随时看房 拎包入住"
"89平米","3室2厅1卫","精装修","面议","2500元/月","13/33","雁塔","金地西沣公元","朝南","整租","普通住宅","西沣路","雁塔区高新CBD大雁塔小学旁金地西沣公元三室精装全配250"
"89平米","2室1厅1卫","简单装修","半年付","1300元/月","3/18","未央","浐灞半岛紫陌佳域A5区","朝南","整租","普通住宅","浐灞半岛","浐灞半岛10区，简装空房，有意者联系！！！"
"40平米","1室1厅1卫","精装修","付3押1","1400元/月","15/31","雁塔","东方米兰","朝北","整租","普通住宅","大寨路","高新区  大寨路东方米兰一室精装 不临街全配 采光好方便出行"
"52平米","1室1卫","精装修","付3押1","1500元/月","17/32","雁塔","华城万象一期","朝南","整租","普通住宅","电视塔","地铁口旁简欧装修 就餐购物 方便快捷 有钥匙 随时看房"
"121平米","3室2厅2卫","精装修","半年付","4300元/月","20/30","碑林","华豪丽晶","东南","整租","普通住宅","黄雁村","注意啦  注意啦   精装3室1厅 紧急 出租   好房出租"
"56平米","1室1厅1卫","精装修","半年付","2000元/月","14/24","雁塔","绿地世纪城","朝北","整租","普通住宅","锦业路","绿地A区，一室一厅一厨一卫，56，精装修全配，拎包入住"
"136平米","3室2厅2卫","精装修","半年付押1","3000元/月","1/28","新城","白桦林明天","南北","整租","普通住宅","含元路","白桦林明天 136平 3室2厅2卫 南北通透 拎包入住 精装"
"90平米","2室2厅1卫","精装修","半年付","2400元/月","12/20","未央","雅荷春天","朝南","整租","普通住宅","张家堡","凤城五路地铁口！雅荷春天！西安中学旁！两室精装全配！业主急租"
"70平米","2室1厅1卫","简单装修","半年付","1400元/月","5/7","雁塔","明德门小区","朝南","整租","普通住宅","明德门","朱雀大街 明德门小区 两室一厅 家具家电齐全 拎包入住"
"96平米","2室2厅1卫","精装修","半年付","4000元/月","13/33","雁塔","中海御湖","朝南","整租","普通住宅","大唐芙蓉园","境商速递  中海御湖公馆   两室精装全配    拎包入住"
"110平米","3室2厅1卫","精装修","付3押1","2999元/月","10/18","雁塔","铂悦","南北","整租","普通住宅","科技路","地铁口 三室精装房 全贴壁纸 南北通透 采光好 办公居家均可"
"93平米","2室2厅1卫","精装修","面议","1800元/月","19/26","莲湖","七彩阳光城","东南","整租","普通住宅","枣园","城西地铁旁 精装两室 拎包入住 有电梯 看房方便 双气地暖"
"125平米","1室1厅1卫","精装修","付3押1","6000元/月","12/29","雁塔","旺座现代城","东南","整租","普通住宅","高新一中","旺座现代城精装写字间带部分办公家具现在特价急租"
"202平米","4室2厅2卫","精装修","面议","6500元/月","13/13","雁塔","曲江华府(公寓)","南北","整租","普通住宅","雁塔南路","曲江华府 精装复式 欧式全配 拎包入住 安静舒适"
"90平米","2室2厅1卫","简单装修","面议","1700元/月","5/20","雁塔","景天佳苑","南北","整租","普通住宅","陕师大","南北通透 南向阳台 空房办公居家均可 会展中心地铁口！"
"90平米","2室2厅1卫","简单装修","半年付","3000元/月","5/30","碑林","东泰城市之光","东南","整租","普通住宅","黄雁村","城南二环黄雁村 东泰城市之光北区 精装两室 拎包入住"
"38平米","1室1卫","精装修","半年付","2100元/月","7/9","新城","解放路民乐园万达广场公寓","朝南","整租","普通住宅","解放路","民乐园万达二号公寓 交通便利 一室开间 拎包入住 随时看房！"
"45平米","1室1厅1卫","简单装修","半年付","2200元/月","34/34","莲湖","西市佳园","西南","整租","公寓","丰庆公园","西市佳园 标准一室一厅户型 朝南有采光的 难得的房源！"
"36平米","1室1卫","精装修","面议","1200元/月","1/1","莲湖","太奥国际城","朝北","整租","公寓","丰禾路","丰禾路 太奥广场 业主实心出租 精装全配 生活便利"
